net_profit_to_total_operate_revenue_ttm,cfo_to_ev,accounts_payable_turnover_days,net_profit_ratio,net_non_operating_income_to_total_profit,fixed_asset_ratio,account_receivable_turnover_days,DEGM,sale_expense_to_operating_revenue,operating_tax_to_operating_revenue_ratio_ttm,inventory_turnover_days,OperatingCycle,net_operate_cash_flow_to_operate_income,quick_ratio,intangible_asset_ratio,MLEV,debt_to_equity_ratio,super_quick_ratio,inventory_turnover_rate,operating_profit_growth_rate,current_ratio,net_operate_cash_flow_to_net_debt,net_operate_cash_flow_to_asset,total_asset_turnover_rate,operating_profit_to_total_profit,roa_ttm,admin_expense_rate,equity_to_fixed_asset_ratio,net_operate_cash_flow_to_total_liability,cash_rate_of_sales,goods_service_cash_to_operating_revenue_ttm,date,stkcd,flag
0.210383,0.010993,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-31,000001.XSHE,True
0.162238,0.037012,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.345051,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-31,000002.XSHE,True
-0.124971,-0.032163,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000422,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-31,000004.XSHE,True
0.295892,0.014507,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002337,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-31,000005.XSHE,True
0.291333,0.120155,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.301186,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-31,000006.XSHE,True
-4.77133,-0.006444,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.038441,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-31,000007.XSHE,True
0.1296,0.008635,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028543,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-31,000008.XSHE,True
0.070635,0.066843,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.306428,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-31,000009.XSHE,True
-0.343581,-0.042799,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026258,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-31,000010.XSHE,True
0.190961,0.175323,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.286066,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-31,000011.XSHE,True
0.210383,0.010985,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-30,000001.XSHE,True
0.162238,0.037167,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.349389,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-30,000002.XSHE,True
-0.124971,-0.032163,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000422,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-30,000004.XSHE,True
0.295892,0.01454,297.55,0.295892,0.0,0.011342,983.371,-0.195318,0.014492,0.011574,360.404,,1.61628,0.948673,0.09422,0.002345,0.933528,0.87448,0.998878,2.08112,1.27837,0.019439,0.021834,0.219521,1.14769,0.064954,0.110484,46.8891,0.018956,0.099464,0.76343,2019-12-30,000005.XSHE,True
0.291333,0.120715,,0.291333,0.0,0.000816,1335.95,0.127888,0.017799,0.0495,1482.55,,1.94655,0.905103,0.0,0.302765,1.37485,0.787824,0.242825,-0.092429,2.16102,-0.043362,0.090298,0.186027,1.01318,0.054196,0.050042,530.549,-0.022953,0.485404,1.62254,2019-12-30,000006.XSHE,True
-4.77133,-0.006305,,-4.77133,0.0,0.180105,31.9922,-0.05764,,0.025404,3.20008,,0.577203,2.41575,0.000695,0.037603,0.950615,1.48365,112.497,-83.7414,2.41859,-0.228587,-0.062274,0.115462,-0.296014,-0.550909,0.62347,2.87273,-0.214586,-0.539349,1.07427,2019-12-30,000007.XSHE,True
0.1296,0.008673,441.473,0.1296,0.0,0.039925,1662.93,0.066032,0.095715,0.011072,227.343,643.076,0.313963,1.56661,0.36456,0.028696,0.457748,1.38621,1.58351,-0.560512,1.85594,0.013133,0.010483,0.267493,0.961214,0.034667,0.151219,17.2526,0.01143,0.03919,0.861819,2019-12-30,000008.XSHE,True
0.070635,0.066398,133.756,0.070898,-0.007413,0.184836,506.39,0.077853,0.091807,0.040417,395.933,522.531,1.48606,0.833197,0.05334,0.303706,3.68893,0.731826,0.909244,4.53219,1.57808,0.044868,0.067498,0.453356,1.01272,0.032142,0.053458,1.8825,0.033988,0.148885,0.790115,2019-12-30,000009.XSHE,True
-0.343581,-0.042856,430.971,-0.343581,0.0,0.015315,1219.91,-1.53116,0.014317,0.002039,614.237,919.214,0.646713,0.560987,0.049887,0.026334,8.02282,0.493901,0.586093,-0.716552,1.02698,0.003922,-0.061705,0.291255,1.01144,-0.10007,0.099793,11.0619,0.003823,-0.21186,0.913715,2019-12-30,000010.XSHE,True
0.190961,0.175437,,0.190961,0.004339,0.004765,626.545,1.77143,0.029023,0.264531,1570.01,,2.33221,1.09644,0.0,0.286283,2.17421,1.04085,0.229298,1.57381,1.94121,0.277955,0.153369,0.247067,1.02693,0.04718,0.046691,67.9258,0.140225,0.620759,1.8186,2019-12-30,000011.XSHE,True
0.210383,0.010982,,0.210383,0.045073,0.002855,,,,0.009428,,,0.759422,,0.003275,0.0,11.8706,,,0.143449,,0.017801,0.010375,0.035874,1.00028,0.007547,0.301534,27.2101,0.016975,0.289204,,2019-12-27,000001.XSHE,True
0.162238,0.037314,557.149,0.162238,-0.028751,0.010612,9.44264,0.070566,0.025165,0.08756,1442.44,1444.8,0.850361,0.414484,0.003066,0.353542,8.33311,0.298343,0.249577,0.259408,1.12966,-0.005485,0.037274,0.210874,1.00043,0.034212,0.033601,14.0801,-0.005107,0.176761,1.23458,2019-12-27,000002.XSHE,True
-0.124971,-0.03222,,-0.124971,0.0,0.007049,155.643,-0.032111,0.718398,0.015851,,,1.42708,,0.0,0.000422,0.124796,3.49573,,-3.28683,7.84251,1.19904,-0.467351,1.68386,1.0044,-0.210434,0.073969,128.333,-0.806861,-0.277547,1.02013,2019-12-27,000004.XSHE,True
